image_id,x_1,y_1,width,height
036748.jpg,131,78,109,151
037453.jpg,48,62,277,389
038628.jpg,82,81,187,259
038685.jpg,1,14,159,220
038822.jpg,55,71,91,126
039074.jpg,144,117,200,277
039540.jpg,458,209,533,738
039947.jpg,116,85,156,216
040057.jpg,87,38,78,108
040066.jpg,88,53,120,166
040067.jpg,90,56,177,245
040106.jpg,140,67,244,338
040516.jpg,54,103,182,252
040580.jpg,117,44,187,259
040750.jpg,199,1,192,266
040759.jpg,1,33,112,153
041271.jpg,144,78,120,166
041353.jpg,238,1,294,407
041461.jpg,83,42,130,180
041723.jpg,85,31,122,169
041733.jpg,235,20,127,176
041854.jpg,131,102,135,187
041939.jpg,23,36,125,173
042350.jpg,200,61,88,122
042358.jpg,62,103,148,205
042599.jpg,67,68,265,367
042639.jpg,159,43,148,205
042835.jpg,51,57,109,151
042931.jpg,904,156,250,346
043159.jpg,108,7,159,220
043266.jpg,176,67,83,115
043288.jpg,49,56,114,158
043598.jpg,84,134,257,356
043985.jpg,57,23,174,241
044484.jpg,61,40,172,238
044863.jpg,135,85,182,252
045621.jpg,144,5,120,166
046108.jpg,133,147,260,360
046174.jpg,144,86,138,191
046414.jpg,13,41,182,252
046811.jpg,71,50,221,285
046833.jpg,93,54,88,122
047019.jpg,930,932,707,979
047040.jpg,167,27,88,122
047640.jpg,141,58,296,410
047669.jpg,376,95,226,313
048101.jpg,55,130,226,313
048330.jpg,296,98,151,209
048536.jpg,6,34,117,147
048713.jpg,398,117,130,180
049781.jpg,225,104,138,191
049829.jpg,74,77,244,338
049863.jpg,188,61,166,230
049915.jpg,423,84,161,223
050085.jpg,75,91,86,119
050212.jpg,57,52,177,245
050225.jpg,36,72,179,248
050290.jpg,97,51,146,202
050408.jpg,47,62,140,194
050485.jpg,96,110,208,288
050628.jpg,197,95,127,176
050887.jpg,27,118,198,274
050971.jpg,126,93,179,248
051652.jpg,197,148,190,292
051991.jpg,61,96,192,266
052125.jpg,126,38,73,101
052144.jpg,93,61,112,155
052201.jpg,75,128,148,205
052262.jpg,122,109,94,130
052317.jpg,63,128,320,443
052731.jpg,402,54,265,367
053372.jpg,62,97,398,551
053546.jpg,776,126,343,475
054221.jpg,149,112,192,266
054922.jpg,371,104,260,360
055071.jpg,71,86,250,346
055099.jpg,140,27,112,155
055216.jpg,617,312,892,1235
055308.jpg,111,67,107,148
055486.jpg,199,81,198,274
055522.jpg,74,69,133,184
055606.jpg,88,150,153,212
055739.jpg,473,227,645,893
055878.jpg,215,44,112,155
056021.jpg,95,95,174,241
056033.jpg,86,17,94,130
056087.jpg,77,59,177,245
056161.jpg,100,40,86,119
056444.jpg,128,104,234,316
056724.jpg,61,73,208,288
057069.jpg,365,279,712,986
057139.jpg,53,82,225,320
057315.jpg,140,47,146,202
057368.jpg,115,64,247,342
057494.jpg,139,67,304,421
057521.jpg,297,76,229,317
057571.jpg,102,30,156,216
057729.jpg,67,105,242,335
057788.jpg,299,44,179,248
057813.jpg,106,89,159,220
058091.jpg,248,29,88,122
058310.jpg,137,55,138,191
058439.jpg,42,129,364,468
058514.jpg,147,46,81,112
058779.jpg,42,60,216,299
058889.jpg,61,53,224,310
058904.jpg,26,1,159,220
059634.jpg,134,123,125,173
059663.jpg,117,1,351,486
059743.jpg,140,63,195,270
060016.jpg,82,71,148,205
060044.jpg,132,34,140,194
060324.jpg,111,43,127,176
060435.jpg,61,76,143,198
060624.jpg,58,29,164,227
060991.jpg,188,137,398,551
061025.jpg,49,135,192,266
061472.jpg,154,178,367,508
061570.jpg,224,50,75,104
061658.jpg,158,86,169,234
061966.jpg,90,172,211,292
062060.jpg,321,48,190,263
062392.jpg,351,91,216,299
062534.jpg,212,84,88,122
062571.jpg,218,85,73,101
062717.jpg,115,75,117,162
062771.jpg,31,47,112,155
063000.jpg,14,18,172,238
063144.jpg,182,67,153,212
063271.jpg,21,92,325,406
063662.jpg,1,24,302,381
063701.jpg,313,73,140,194
063781.jpg,19,65,140,194
063928.jpg,157,68,190,263
063960.jpg,32,69,192,266
064038.jpg,74,98,179,248
064176.jpg,70,96,211,252
064185.jpg,155,55,244,315
064197.jpg,72,159,377,522
064356.jpg,80,52,73,101
064544.jpg,46,58,187,259
064652.jpg,63,38,75,104
064813.jpg,96,89,239,331
064824.jpg,77,108,234,324
064987.jpg,94,27,166,230
065056.jpg,75,63,203,281
065184.jpg,159,64,127,176
065326.jpg,32,84,211,292
065413.jpg,326,45,75,104
065486.jpg,22,65,190,254
065830.jpg,276,136,211,292
065904.jpg,11,11,156,216
065907.jpg,122,92,161,223
066132.jpg,107,33,94,130
066774.jpg,92,79,185,256
067173.jpg,143,46,94,130
067726.jpg,247,276,463,641
067946.jpg,66,30,131,223
068199.jpg,171,50,164,227
068359.jpg,154,65,120,166
068476.jpg,112,9,145,209
068671.jpg,86,80,112,155
068877.jpg,100,99,187,259
069046.jpg,90,68,174,241
069202.jpg,30,30,255,353
069329.jpg,63,75,242,335
069343.jpg,55,78,135,187
069437.jpg,97,37,208,288
069484.jpg,34,151,390,540
069521.jpg,211,21,216,299
069522.jpg,158,153,177,245
069591.jpg,243,251,1009,1397
069630.jpg,345,50,231,320
069942.jpg,154,112,177,245
069947.jpg,206,115,151,209
069987.jpg,245,102,109,151
070187.jpg,179,111,133,184
070359.jpg,29,97,208,288
070766.jpg,40,35,195,270
070801.jpg,92,218,395,547
071020.jpg,113,46,114,151
071229.jpg,664,480,1092,1437
071395.jpg,221,32,140,194
071549.jpg,141,76,91,126
071910.jpg,314,51,125,173
071985.jpg,290,45,140,194
072098.jpg,157,77,242,335
072423.jpg,62,44,156,216
072483.jpg,254,17,122,169
072531.jpg,86,55,172,238
072696.jpg,480,235,237,328
072843.jpg,53,82,234,324
072870.jpg,113,52,70,97
072927.jpg,82,47,148,205
072944.jpg,29,37,75,104
073002.jpg,46,14,94,130
073019.jpg,356,97,270,374
073035.jpg,125,110,94,130
073120.jpg,34,52,117,162
073171.jpg,84,80,208,288
073311.jpg,96,101,156,216
073861.jpg,79,46,148,205
074187.jpg,229,156,153,212
074393.jpg,8,42,120,139
074538.jpg,62,24,86,119
074708.jpg,43,55,151,209
074777.jpg,1,1,764,1020
074902.jpg,129,105,169,234
075213.jpg,142,44,78,108
075862.jpg,30,88,133,184
076582.jpg,106,31,68,94
076855.jpg,97,35,81,133
076940.jpg,592,90,367,508
077133.jpg,447,42,104,144
077505.jpg,107,77,187,259
077660.jpg,69,77,229,317
077781.jpg,153,271,502,695
078236.jpg,121,93,161,223
078280.jpg,268,79,543,686
078481.jpg,130,93,190,263
078643.jpg,50,77,153,212
078728.jpg,128,62,192,266
078893.jpg,94,9,255,338
079059.jpg,176,115,195,270
079238.jpg,201,169,213,295
079304.jpg,39,81,234,324
079659.jpg,105,82,177,245
080004.jpg,102,41,161,223
080271.jpg,94,50,88,122
080380.jpg,75,57,135,187
080613.jpg,205,71,208,288
080809.jpg,69,32,94,130
081078.jpg,188,43,125,173
081375.jpg,98,24,70,97
081537.jpg,46,62,203,281
081715.jpg,137,101,257,356
081778.jpg,74,42,104,144
082210.jpg,161,106,148,205
082229.jpg,129,69,133,184
082292.jpg,184,114,281,389
082362.jpg,95,33,57,79
082491.jpg,524,106,239,331
082695.jpg,92,104,166,230
082720.jpg,122,24,208,288
082884.jpg,172,83,151,209
082935.jpg,418,43,335,464
083178.jpg,29,64,156,216
083810.jpg,10,115,250,346
084476.jpg,128,69,192,266
084491.jpg,606,76,276,382
084976.jpg,484,26,101,140
085009.jpg,110,30,42,58
085201.jpg,59,121,216,299
085507.jpg,89,61,101,140
085681.jpg,34,41,117,162
085814.jpg,111,68,146,202
086052.jpg,144,178,237,328
086560.jpg,284,190,187,259
086620.jpg,98,9,99,140
086715.jpg,255,39,88,122
086739.jpg,63,74,107,148
086809.jpg,126,86,195,270
087081.jpg,87,37,127,176
087440.jpg,124,52,143,198
087868.jpg,126,94,156,216
088041.jpg,74,26,78,108
088115.jpg,183,120,299,414
088185.jpg,45,17,224,310
088237.jpg,13,51,164,227
088474.jpg,126,14,140,194
088628.jpg,216,80,244,338
088947.jpg,159,95,153,212
089175.jpg,110,25,86,119
089195.jpg,55,72,164,227
089218.jpg,112,81,138,191
089315.jpg,593,67,143,198
089452.jpg,128,35,101,140
089885.jpg,130,188,343,475
090114.jpg,164,69,81,112
090166.jpg,88,136,211,292
090620.jpg,148,55,114,158
091018.jpg,93,95,281,338
091491.jpg,78,67,62,86
091661.jpg,107,33,91,126
091741.jpg,171,97,257,356
092051.jpg,103,120,109,151
092212.jpg,73,39,151,209
092226.jpg,65,44,107,148
092715.jpg,288,73,195,270
092877.jpg,79,101,125,173
093016.jpg,167,43,151,209
093133.jpg,137,149,239,331
093798.jpg,220,42,96,133
094105.jpg,106,98,263,364
094603.jpg,78,81,172,238
094801.jpg,41,58,117,162
094896.jpg,78,64,187,259
094946.jpg,95,144,192,266
095154.jpg,69,30,99,137
095479.jpg,366,66,172,238
095592.jpg,209,75,257,356
095639.jpg,137,49,117,162
096704.jpg,143,74,135,187
096737.jpg,77,85,221,276
096788.jpg,145,85,140,194
096870.jpg,89,105,195,270
097041.jpg,763,71,556,770
097143.jpg,261,144,361,500
097890.jpg,342,173,419,580
098020.jpg,483,77,200,277
098385.jpg,96,39,125,173
099231.jpg,52,26,83,115
099346.jpg,108,70,190,263
099350.jpg,135,93,172,238
099380.jpg,111,47,83,115
099386.jpg,165,44,52,72
099391.jpg,97,82,120,166
099472.jpg,120,87,172,238
099596.jpg,527,490,341,472
099648.jpg,132,101,156,216
099715.jpg,264,34,146,202
100040.jpg,26,80,190,263
100282.jpg,147,63,185,256
100411.jpg,372,160,458,634
100658.jpg,32,19,177,234
100865.jpg,34,99,239,331
100977.jpg,256,132,151,209
101937.jpg,65,51,127,176
102100.jpg,33,150,289,347
102233.jpg,165,72,148,205
102347.jpg,250,29,234,324
103291.jpg,59,24,65,90
103713.jpg,155,59,88,122
103753.jpg,206,8,250,346
103981.jpg,139,72,148,205
104456.jpg,102,106,322,446
104594.jpg,233,113,65,90
104701.jpg,82,58,130,180
104767.jpg,232,1,192,266
104774.jpg,49,38,192,266
105131.jpg,404,185,325,450
105163.jpg,208,44,203,281
105487.jpg,331,1,234,324
105545.jpg,123,104,185,256
105848.jpg,58,55,148,205
105990.jpg,53,85,125,173
106012.jpg,247,80,107,148
106451.jpg,167,42,135,187
106530.jpg,204,72,135,187
106540.jpg,152,29,88,122
106543.jpg,149,39,172,238
106709.jpg,230,84,267,371
106850.jpg,90,99,226,313
107058.jpg,125,51,117,162
107768.jpg,30,70,174,241
107929.jpg,39,26,276,382
108081.jpg,216,281,179,248
108644.jpg,225,37,109,151
108756.jpg,69,111,164,227
108993.jpg,318,131,395,547
109844.jpg,159,1,203,281
109898.jpg,241,114,312,432
109975.jpg,84,47,221,306
110116.jpg,110,19,81,112
110139.jpg,70,84,169,234
110218.jpg,160,99,192,266
110511.jpg,1176,223,538,745
110594.jpg,330,105,153,212
110605.jpg,147,143,252,349
110667.jpg,59,92,185,256
110786.jpg,24,57,159,207
110889.jpg,338,34,153,212
110924.jpg,84,62,177,245
111038.jpg,121,31,229,317
111039.jpg,96,122,192,266
111450.jpg,790,26,125,173
111544.jpg,122,104,205,284
111868.jpg,90,65,159,220
112116.jpg,143,36,114,158
112297.jpg,27,14,221,285
112312.jpg,25,45,133,184
112359.jpg,39,43,135,187
112667.jpg,257,73,127,176
112693.jpg,53,92,151,209
112998.jpg,80,108,250,346
113063.jpg,121,60,192,266
113646.jpg,44,70,70,97
113919.jpg,42,43,75,104
113972.jpg,62,32,91,126
114161.jpg,93,65,198,274
114184.jpg,118,46,133,184
114252.jpg,75,35,224,310
114310.jpg,116,95,231,320
114399.jpg,77,44,83,115
114846.jpg,545,63,174,241
114868.jpg,12,59,107,148
115310.jpg,40,23,81,112
115467.jpg,211,45,166,230
115812.jpg,100,68,203,281
115825.jpg,86,76,120,166
115910.jpg,39,83,143,198
116018.jpg,198,80,257,356
116165.jpg,117,52,203,281
116894.jpg,40,38,107,148
117487.jpg,163,43,135,187
117602.jpg,256,78,112,155
117758.jpg,119,71,260,360
117984.jpg,141,61,203,281
118176.jpg,13,18,104,144
118355.jpg,430,141,400,554
118859.jpg,320,33,286,396
118941.jpg,162,49,112,155
118947.jpg,456,121,182,252
119197.jpg,249,223,369,511
119278.jpg,126,50,192,266
119385.jpg,90,93,166,230
119659.jpg,275,115,208,288
119859.jpg,122,50,416,576
120137.jpg,31,58,96,133
120286.jpg,123,84,135,187
120436.jpg,46,12,55,76
120518.jpg,78,74,101,140
120666.jpg,41,32,153,212
121032.jpg,21,38,156,216
121179.jpg,324,168,333,461
121276.jpg,84,54,109,151
121779.jpg,339,37,218,302
121804.jpg,78,70,172,238
121821.jpg,42,39,179,248
121864.jpg,142,45,117,162
121894.jpg,121,79,135,187
121906.jpg,167,54,70,97
122140.jpg,218,32,122,169
122428.jpg,126,94,198,274
122524.jpg,191,35,104,144
122697.jpg,97,1,393,509
123050.jpg,59,89,88,122
123289.jpg,89,78,127,176
123389.jpg,104,78,195,270
123908.jpg,24,36,307,425
123988.jpg,139,140,294,407
124043.jpg,27,66,135,187
124063.jpg,212,58,208,288
124142.jpg,161,1,302,418
124434.jpg,75,8,164,227
124555.jpg,98,67,203,281
124593.jpg,90,63,143,198
124805.jpg,344,184,268,374
124988.jpg,81,106,185,256
125038.jpg,178,56,91,126
125493.jpg,97,45,135,187
126186.jpg,79,68,148,205
126746.jpg,25,22,112,155
126930.jpg,111,91,138,191
127035.jpg,402,146,213,295
127249.jpg,153,27,146,202
127308.jpg,83,96,244,338
127309.jpg,75,28,94,130
127400.jpg,43,58,96,133
127578.jpg,212,222,460,637
127809.jpg,47,101,166,230
127987.jpg,106,79,130,180
128066.jpg,23,32,83,115
128078.jpg,272,83,140,194
128086.jpg,76,59,192,266
128504.jpg,159,29,174,241
128666.jpg,605,1,351,486
128681.jpg,94,79,179,248
129373.jpg,1185,210,608,842
129580.jpg,166,130,164,227
129599.jpg,237,92,88,122
130871.jpg,22,94,143,173
131226.jpg,157,25,177,245
131820.jpg,83,48,143,198
132325.jpg,176,32,127,176
132476.jpg,149,90,99,137
132490.jpg,138,107,205,284
132615.jpg,126,190,16,22
132635.jpg,19,38,86,109
132940.jpg,593,186,18,25
133081.jpg,15,62,153,212
133086.jpg,89,77,127,176
133125.jpg,219,24,101,140
133538.jpg,230,94,220,371
133570.jpg,26,38,109,144
134002.jpg,73,93,216,299
134067.jpg,92,38,187,259
134783.jpg,83,15,117,162
135123.jpg,102,30,86,119
135431.jpg,1,67,304,421
135680.jpg,36,76,341,472
135780.jpg,87,78,216,299
136294.jpg,123,109,205,284
136656.jpg,216,321,671,929
136773.jpg,247,67,120,166
137045.jpg,243,70,146,202
137531.jpg,112,60,107,148
138327.jpg,127,93,125,173
138659.jpg,209,26,185,256
138705.jpg,45,67,174,241
139030.jpg,381,81,244,338
139178.jpg,63,81,182,251
139232.jpg,105,15,94,151
139234.jpg,150,49,179,248
139646.jpg,1,59,213,277
139656.jpg,55,97,192,266
140018.jpg,44,42,166,214
140021.jpg,81,10,226,313
140022.jpg,69,79,257,356
140474.jpg,249,42,250,346
140566.jpg,157,68,182,252
140569.jpg,72,21,88,122
140585.jpg,47,47,156,216
140764.jpg,160,77,75,104
140938.jpg,36,82,148,205
141079.jpg,64,72,387,493
141092.jpg,170,271,387,494
141152.jpg,1,77,151,209
141290.jpg,27,1,156,216
141357.jpg,108,65,143,198
141374.jpg,58,32,96,133
141395.jpg,60,129,286,368
141406.jpg,76,101,200,277
141598.jpg,113,294,338,468
141712.jpg,191,47,107,148
142134.jpg,48,37,112,155
142243.jpg,178,64,164,227
142402.jpg,1255,330,720,997
142854.jpg,50,19,52,72
142965.jpg,17,25,133,184
143024.jpg,109,80,127,176
143166.jpg,61,33,153,212
143622.jpg,285,59,317,439
143639.jpg,50,19,125,173
144128.jpg,71,80,174,241
144265.jpg,104,92,218,302
144282.jpg,155,89,185,256
144620.jpg,98,116,190,263
144715.jpg,109,92,122,169
144842.jpg,47,25,112,155
145025.jpg,157,126,180,256
145060.jpg,95,41,60,83
145090.jpg,110,42,65,90
145208.jpg,88,91,200,277
145336.jpg,19,91,268,371
145386.jpg,176,72,86,119
145537.jpg,88,68,172,238
145692.jpg,87,63,140,194
145698.jpg,98,126,166,230
146002.jpg,84,46,151,209
146121.jpg,144,140,270,374
146519.jpg,174,51,114,158
146771.jpg,139,40,164,227
147039.jpg,234,7,223,310
147128.jpg,320,176,424,587
147160.jpg,92,156,247,342
147586.jpg,779,2,447,619
147842.jpg,41,76,143,198
147952.jpg,44,113,166,230
148171.jpg,67,50,159,220
148356.jpg,42,40,75,104
148683.jpg,351,34,130,180
148730.jpg,245,86,218,302
149188.jpg,97,44,78,108
149337.jpg,81,42,174,241
149383.jpg,66,61,153,212
149696.jpg,109,141,377,522
150488.jpg,31,86,265,367
150909.jpg,93,78,125,173
150914.jpg,76,62,166,230
150942.jpg,75,65,153,212
151051.jpg,47,40,148,203
151150.jpg,49,20,198,274
151350.jpg,43,114,234,324
151699.jpg,51,91,177,245
151761.jpg,73,100,281,389
151829.jpg,36,29,70,97
152040.jpg,158,67,65,90
152199.jpg,88,40,96,133
152452.jpg,45,85,185,256
152702.jpg,244,1,242,335
152970.jpg,49,87,143,198
153007.jpg,122,89,122,169
153113.jpg,197,68,148,205
153139.jpg,24,66,211,292
153246.jpg,60,90,130,90
154222.jpg,121,53,133,184
154257.jpg,198,116,112,155
154473.jpg,119,77,242,335
154557.jpg,116,115,179,248
154795.jpg,62,150,224,310
155162.jpg,120,73,156,216
155215.jpg,386,152,515,713
155314.jpg,87,52,83,115
155850.jpg,118,64,99,137
155985.jpg,221,50,190,263
156095.jpg,178,141,346,479
156209.jpg,48,89,237,328
156279.jpg,204,257,364,504
156346.jpg,249,136,138,191
156388.jpg,146,101,164,227
156446.jpg,400,100,491,680
157010.jpg,243,103,187,259
157395.jpg,3,34,359,497
157816.jpg,23,29,151,206
158140.jpg,112,63,166,230
158264.jpg,106,79,190,263
158553.jpg,459,298,530,734
158832.jpg,343,62,99,137
158915.jpg,36,13,75,115
159015.jpg,140,25,49,68
159033.jpg,75,102,159,220
159187.jpg,62,89,268,371
159638.jpg,19,25,164,227
159681.jpg,255,244,218,302
159995.jpg,93,33,99,137
160242.jpg,1179,52,229,317
160348.jpg,132,44,143,198
160604.jpg,77,34,143,198
161354.jpg,138,131,302,418
161458.jpg,92,157,169,220
162142.jpg,69,90,291,403
162336.jpg,220,122,156,216
162368.jpg,188,84,140,194
162703.jpg,112,35,99,137
162834.jpg,62,38,91,126
162880.jpg,113,49,213,295
163121.jpg,86,147,229,317
163357.jpg,61,72,96,133
163919.jpg,115,8,120,166
164299.jpg,163,37,159,220
164428.jpg,45,91,244,338
164482.jpg,140,91,75,104
164795.jpg,78,50,127,176
165090.jpg,190,82,117,162
165440.jpg,50,86,229,317
165922.jpg,123,128,265,367
166262.jpg,337,64,159,220
166274.jpg,121,140,312,432
166456.jpg,941,150,302,418
166615.jpg,22,69,185,252
166641.jpg,88,94,211,292
167016.jpg,170,72,101,140
167160.jpg,112,65,130,180
167214.jpg,304,509,533,738
167497.jpg,394,289,634,878
167622.jpg,273,212,359,497
167773.jpg,117,119,322,446
168025.jpg,80,57,187,247
168161.jpg,247,167,351,486
168493.jpg,122,186,156,216
168520.jpg,570,95,185,256
169215.jpg,1,32,174,241
169320.jpg,703,204,650,900
169393.jpg,208,21,174,241
169750.jpg,144,89,161,223
169879.jpg,150,62,185,256
170362.jpg,435,40,283,392
170364.jpg,133,50,83,115
170432.jpg,169,103,68,94
170514.jpg,98,89,94,130
170854.jpg,166,28,101,140
170956.jpg,112,66,164,227
171300.jpg,265,32,166,230
171436.jpg,28,54,104,136
171628.jpg,137,1,203,281
171820.jpg,27,36,109,151
171982.jpg,1404,126,159,220
172327.jpg,208,154,421,583
172714.jpg,57,1,70,97
172749.jpg,95,69,94,130
172950.jpg,88,95,229,317
173024.jpg,472,164,273,378
173347.jpg,53,27,75,104
173414.jpg,97,48,211,271
173506.jpg,90,22,73,101
173802.jpg,253,99,140,194
173904.jpg,146,52,99,137
174026.jpg,63,98,182,252
174054.jpg,263,233,276,382
174126.jpg,91,104,195,270
174308.jpg,106,18,55,76
174822.jpg,118,96,203,281
174833.jpg,472,193,463,641
175002.jpg,100,39,226,313
175077.jpg,25,33,91,126
175162.jpg,83,100,185,256
175342.jpg,99,1,242,335
175369.jpg,49,83,60,83
175495.jpg,447,29,650,900
175565.jpg,7,54,148,205
175613.jpg,70,33,153,212
175683.jpg,75,11,96,133
175802.jpg,471,26,81,112
176079.jpg,99,42,125,173
176080.jpg,339,18,75,104
176370.jpg,191,53,112,155
176519.jpg,180,47,101,140
177003.jpg,99,44,151,209
177112.jpg,114,70,192,266
177393.jpg,21,33,166,230
177555.jpg,9,30,140,194
177563.jpg,64,100,179,248
178033.jpg,91,49,117,162
178132.jpg,53,27,140,194
178333.jpg,218,1,250,360
178385.jpg,230,63,294,407
178707.jpg,76,108,218,302
178800.jpg,108,78,169,234
179188.jpg,115,34,99,137
179375.jpg,195,76,179,248
179468.jpg,62,33,83,115
180056.jpg,422,83,276,382
180224.jpg,28,40,117,162
180257.jpg,290,49,117,162
180398.jpg,171,48,120,166
180845.jpg,88,55,169,234
180923.jpg,113,97,135,187
181040.jpg,20,31,29,40
181041.jpg,72,125,164,227
181147.jpg,389,52,135,187
181348.jpg,144,104,57,79
181915.jpg,547,32,294,407
182328.jpg,112,87,263,364
182430.jpg,118,119,278,385
182546.jpg,78,56,148,205
182608.jpg,63,81,213,295
182765.jpg,78,88,99,137
182770.jpg,122,41,114,158
182824.jpg,41,105,250,346
183014.jpg,65,87,198,274
183361.jpg,1120,166,491,680
183812.jpg,52,51,156,216
183836.jpg,182,107,174,226
183849.jpg,373,145,146,202
183978.jpg,109,103,224,310
184250.jpg,128,111,252,349
184429.jpg,85,81,114,158
184700.jpg,151,62,187,259
184987.jpg,117,142,78,108
185184.jpg,29,57,242,314
185417.jpg,182,135,283,392
185557.jpg,72,40,109,158
185603.jpg,164,62,112,155
185804.jpg,93,47,91,126
186606.jpg,59,64,231,320
186896.jpg,89,74,127,176
187052.jpg,92,38,96,133
187437.jpg,83,104,213,295
187701.jpg,62,59,120,166
187746.jpg,10,52,122,169
188118.jpg,34,27,231,320
